player,status,pitches_collected,games_collected,games_processed,unique_game_dates,innings_pitched
Garrett Crochet,success,2186,22,22,22,141.1
Logan Webb,success,2221,23,23,23,141.1
Framber Valdez,success,1969,21,21,21,134.0
Max Fried,success,2124,22,22,22,134.0
Zack Wheeler,success,2214,22,22,22,133.2
Tarik Skubal,success,2039,22,22,22,133.2
Zack Littell,success,1929,22,22,22,133.1
Paul Skenes,success,2180,23,23,23,133.0
Bryan Woo,success,1902,21,21,21,133.0
Jose Soriano,success,2141,23,23,23,133.0
Jose Berrios,success,1988,23,23,23,131.1
Cristopher Sanchez,success,1915,21,21,21,130.2
Luis Severino,success,2222,23,23,23,130.1
Ryan Pepiot,success,2076,23,23,23,130.1
Carlos Rodon,success,2239,23,23,23,130.0
Robbie Ray,success,2199,23,23,23,129.0
Merrill Kelly,success,2077,23,23,23,128.2
Yusei Kikuchi,success,2225,23,23,23,128.0
Nick Lodolo,success,2009,22,22,22,128.0
Nick Martinez,success,1965,24,24,24,127.0
Luis Castillo,success,2186,23,23,23,127.0
Zac Gallen,success,2068,22,22,22,127.0
Mitch Keller,success,2015,22,22,22,127.0
Jake Irvin,success,2095,23,23,23,126.2
Dean Kremer,success,2015,22,22,22,126.1
Jeffrey Springs,success,2073,23,23,23,126.0
Freddy Peralta,success,2187,23,23,23,125.2
Hunter Brown,success,2097,22,22,22,124.0
Jacob deGrom,success,1817,21,21,21,123.2
Matthew Boyd,success,1965,22,22,22,123.2
Chris Bassitt,success,2024,23,23,23,123.0
MacKenzie Gore,success,2136,22,22,22,123.0
Kevin Gausman,success,2089,22,22,22,122.2
Nick Pivetta,success,1970,22,22,22,121.2
Joe Ryan,success,2004,22,22,22,121.1
Sonny Gray,success,1817,22,22,22,121.1
David Peterson,success,1971,21,21,21,121.0
Jesus Luzardo,success,2059,22,22,22,121.0
Tanner Bibee,success,2094,22,22,22,121.0
Shane Baz,success,2036,22,22,22,119.0
Seth Lugo,success,1850,20,20,20,118.2
Dylan Cease,success,2101,22,22,22,118.1
Clay Holmes,success,1973,22,22,22,117.1
Michael Wacha,success,1939,22,22,22,117.1
Chris Paddack,success,1939,22,22,22,117.0
Andre Pallante,success,1867,21,21,21,117.0
Kris Bubic,success,1799,20,20,20,116.1
Yoshinobu Yamamoto,success,1906,21,21,21,116.1
Brandon Pfaadt,success,1944,22,22,22,116.1
Grant Holmes,success,1970,22,22,22,115.0
Mitchell Parker,success,1918,22,22,22,113.2
Bailey Falter,success,1699,22,22,22,113.1
Tyler Anderson,success,2030,22,22,22,112.1
Taj Bradley,success,1788,21,21,21,111.1
JP Sears,success,1936,22,22,22,111.0
Spencer Schwellenbach,success,1577,17,17,17,110.2
Will Warren,success,1951,23,23,23,110.2
Gavin Williams,success,2049,22,22,22,110.1
Brayan Bello,success,1784,19,19,19,110.0
Sandy Alcantara,success,1891,21,21,21,109.0
Tomoyuki Sugano,success,1858,21,21,21,109.0
Logan Allen,success,1861,21,21,21,108.2
