player,season,total_games,valid_sequences,nan_targets,nan_features
Aaron Nola,2021,32,27,0,0
Aaron Nola,2022,32,27,0,0
Alek Manoah,2021,20,15,0,0
Alek Manoah,2022,31,26,0,0
Blake Snell,2022,24,19,0,0
Blake Snell,2023,32,27,0,0
Chris Bassitt,2022,30,25,0,0
Chris Bassitt,2023,33,28,0,0
Chris Sale,2023,20,15,0,0
Cole Ragans,2023,29,24,0,0
Corbin Burnes,2021,28,23,0,0
Corbin Burnes,2022,33,28,0,0
Corbin Burnes,2023,32,27,0,0
Dylan Cease,2021,32,27,0,0
Dylan Cease,2022,32,27,0,0
Dylan Cease,2023,33,28,0,0
Emmanuel Clase,2023,75,70,0,0
Framber Valdez,2021,22,17,0,0
Framber Valdez,2022,31,26,0,0
Framber Valdez,2023,31,26,0,0
George Kirby,2022,25,20,0,0
George Kirby,2023,31,26,0,0
Gerrit Cole,2021,30,25,0,0
Gerrit Cole,2022,33,28,0,0
Gerrit Cole,2023,33,28,0,0
Hunter Greene,2023,22,17,0,0
Justin Steele,2022,24,19,0,0
Justin Steele,2023,30,20,0,5
Justin Verlander,2022,28,23,0,0
Kevin Gausman,2021,33,28,0,0
Kevin Gausman,2022,31,26,0,0
Kevin Gausman,2023,31,26,0,0
Kirby Yates,2023,61,56,0,0
Kodai Senga,2023,29,24,0,0
Kyle Bradish,2022,23,18,0,0
Kyle Bradish,2023,30,25,0,0
Kyle Wright,2021,2,0,0,0
Kyle Wright,2022,30,25,0,0
Logan Gilbert,2023,32,27,0,0
Logan Webb,2022,32,27,0,0
Logan Webb,2023,33,28,0,0
Max Fried,2021,28,23,0,0
Max Fried,2022,30,25,0,0
Ryan Helsley,2023,33,28,0,0
Seth Lugo,2023,26,21,0,0
Shane Bieber,2021,16,11,0,0
Shane Bieber,2022,31,26,0,0
Shane McClanahan,2021,25,20,0,0
Shane McClanahan,2022,28,23,0,0
Shohei Ohtani,2021,23,18,0,0
Shohei Ohtani,2022,28,23,0,0
Sonny Gray,2022,24,19,0,0
Sonny Gray,2023,32,27,0,0
Spencer Strider,2022,31,26,0,0
Spencer Strider,2023,32,27,0,0
Tarik Skubal,2023,15,10,0,0
Yu Darvish,2021,30,25,0,0
Yu Darvish,2022,30,25,0,0
Yusei Kikuchi,2023,32,27,0,0
Zac Gallen,2021,23,18,0,0
Zac Gallen,2022,31,26,0,0
Zac Gallen,2023,34,29,0,0
Zach Eflin,2022,20,15,0,0
Zach Eflin,2023,31,26,0,0
Zack Wheeler,2022,26,21,0,0
Zack Wheeler,2023,32,27,0,0
