pitcher,posterior_mean,posterior_std,n_observations,empirical_mean,shrinkage
Alek Manoah,0.08813885729230943,0.0005760322413171703,41,0.08825590388803947,0.00011704659573004428
Dylan Cease,0.08793621862798448,0.0005000195447268205,82,0.08753296778332896,0.00040325084465551997
Kevin Gausman,0.0885979443876988,0.0005841771677331099,80,0.08981607872992754,0.001218134342228741
Corbin Burnes,0.08843208972588804,0.0005420480261829345,78,0.08922406410177548,0.000791974375887447
Zac Gallen,0.08760925503295458,0.0006073113219634754,73,0.08628003727899838,0.0013292177539561967
Framber Valdez,0.08840319509082922,0.0005415599046432021,69,0.08920771261488182,0.0008045175240525976
Shane McClanahan,0.0878662452114176,0.0005966689005847091,43,0.08684244422718536,0.0010238009842322426
Shane Bieber,0.08808255499502998,0.0005626311427834571,37,0.08793679846299661,0.00014575653203337258
Gerrit Cole,0.08765477694105588,0.0005774679898052764,81,0.08653455761111813,0.0011202193299377494
Aaron Nola,0.08819262998582413,0.0005415155245482002,54,0.08848102680510944,0.00028839681928531646
Max Fried,0.08806945457701704,0.0005413227220156841,48,0.0878791647652785,0.00019028981173853377
Yu Darvish,0.08807493607516745,0.0005321699774081794,50,0.08796324521303177,0.00011169086213567991
Shohei Ohtani,0.08802481223440738,0.0005618921280209743,41,0.08766171717789115,0.00036309505651623
Kyle Bradish,0.08800064941248828,0.0005553573683584619,43,0.08755081493494123,0.00044983447754705363
Justin Steele,0.08775766431848105,0.0006323683809727939,39,0.08612321412716156,0.0016344501913194837
Justin Verlander,0.08813534542209896,0.0006149661872007812,23,0.08833532229713771,0.00019997687503875428
Zack Wheeler,0.08754386997216086,0.0006573513420118735,48,0.08538177811230223,0.0021620918598586336
Zach Eflin,0.08810291231719762,0.0005601947728101526,41,0.08808481457029901,1.8097746898607103e-05
Blake Snell,0.08840109605808671,0.0005989282679825737,46,0.0894885239717753,0.001087427913688585
George Kirby,0.08855011567825884,0.0006330398015667563,46,0.0902628087155197,0.0017126930372608623
Kyle Wright,0.08801039936704519,0.0005892933422436641,25,0.08729183852672577,0.0007185608403194182
Spencer Strider,0.08823213936116922,0.0005393455814731024,53,0.08862156758330902,0.00038942822213980377
Logan Webb,0.08828324345040878,0.0005421226904593646,55,0.08882893987677314,0.0005456964263643588
Sonny Gray,0.08806933501654393,0.0005516914234341352,46,0.08791523475361906,0.00015410026292486667
Chris Bassitt,0.08827019870774144,0.0005448763988582736,53,0.08884375036325094,0.0005735516555094994
Hunter Greene,0.08834184937179337,0.000637004549258942,17,0.09055334285778158,0.002211493485988203
Ryan Helsley,0.08795923442149013,0.0005994123581523114,28,0.08696699887514114,0.000992235546348988
Kirby Yates,0.08773730786194435,0.0005932778693536323,56,0.08648400048592261,0.0012533073760217367
Yusei Kikuchi,0.08820893988613036,0.0005900829673912773,27,0.08870773155380178,0.0004987916676714166
Emmanuel Clase,0.08833654599939614,0.00054177291698968,70,0.08897628613880702,0.0006397401394108854
Logan Gilbert,0.08827106960168164,0.0006007540525452051,27,0.08925284748827969,0.000981777886598048
Cole Ragans,0.08825898694408187,0.0006087685030792787,24,0.08926606861253579,0.001007081668453924
Chris Sale,0.08832299220517209,0.0006494328563009311,15,0.090446670850118,0.002123678644945906
Tarik Skubal,0.08817535831111009,0.0006415626020576389,10,0.08918548673391342,0.001010128422803333
Kodai Senga,0.08812704056998867,0.0005945134664716111,24,0.08821972956260045,9.268899261177799e-05
Seth Lugo,0.08793406028918296,0.0006348030753416839,21,0.08652137681132271,0.0014126834778602493
